time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
20.693, 3.634, -0.904, 0.562
20.72, 3.221, -0.828, 0.383
20.747, 3.266, -0.026, 0.906
20.775, 3.368, -0.022, 0.859
20.803, 1.678, -0.272, 1.205
20.832, 1.124, 0.277, 1.676
20.86, 1.127, 0.622, 2.399
20.889, -1.519, -1.977, 1.762
20.915, -3.289, -0.591, 1.888
20.949, -3.595, 1.85, 0.94
20.978, -5.621, 3.248, -3.133
21.008, 1.767, -3.758, -4.482
21.037, 1.91, -2.957, -5.883
21.064, -2.9, -1.33, -2.742
21.091, -4.591, 0.266, -1.625
21.118, -4.526, 1.239, -0.398
21.146, 0.259, 1.07, 0.226
21.175, 3.456, 0.626, 0.514
21.206, 4.294, -1.033, 0.414
21.234, 4.661, -0.471, 0.599
21.262, 3.353, -0.44, 1.478
21.292, 2.836, -0.111, 1.475
21.319, 2.224, 0.244, 1.375
21.349, 1.132, 0.616, 2.073
21.378, 0.797, 0.35, 2.977
